# tau rho ord score
7.000 136.000 0.900 343.53940174665183
7.000 140.000 0.900 346.6133259635056
7.000 144.000 0.900 349.61868321533683
7.000 148.000 0.900 352.5419187570731
7.000 152.000 0.900 355.3698906273672
7.000 156.000 0.900 358.0899122774201
7.000 160.000 0.900 360.6902459807455
7.000 164.000 0.900 363.1582964547577
7.000 168.000 0.900 365.48346405431033
7.000 172.000 0.900 367.6552725635292
7.000 176.000 0.900 369.66388781549955
7.000 180.000 0.900 371.5006039066349
7.000 184.000 0.900 373.15603049430746
7.000 188.000 0.900 374.62294040428066
7.000 192.000 0.900 375.8943924063381
7.000 196.000 0.900 376.9642451899574
7.000 200.000 0.900 377.82763908468553
7.000 204.000 0.900 378.4791787729988
7.000 208.000 0.900 378.9157759690615
7.000 212.000 0.900 379.134766662909
7.000 216.000 0.900 379.13441870406257
7.000 220.000 0.900 378.914406019221
7.000 224.000 0.900 378.47398247631116
7.000 228.000 0.900 377.8148141537761
7.000 232.000 0.900 376.93908442710404
7.000 236.000 0.900 375.84998749165555
7.000 240.000 0.900 374.55173366845844
7.000 244.000 0.900 373.0495502140359
