# tau rho ord score
20.600 36.000 0.800 69.83198085271714
20.600 36.000 0.820 69.35718926254978
20.600 36.000 0.840 71.26841339090463
20.600 36.000 0.860 75.19408017870296
20.600 36.000 0.880 83.98137421838686
20.600 36.000 0.900 100.04178599176593
20.600 36.000 0.920 120.35979871140742
20.600 36.000 0.940 140.73090303122058
20.600 36.000 0.960 162.6255132408675
20.600 36.000 0.980 184.7150239333856
20.600 36.000 1.000 206.80453462590367
20.600 37.000 0.800 67.88456080657124
20.600 37.000 0.820 67.43450058118614
20.600 37.000 0.840 69.29882986365408
20.600 37.000 0.860 73.35962824845122
20.600 37.000 0.880 82.62751571578347
20.600 37.000 0.900 99.52657543159587
20.600 37.000 0.920 119.88741044118686
20.600 37.000 0.940 140.48565189356498
20.600 37.000 0.960 162.57409129555575
20.600 37.000 0.980 184.66253069754652
20.600 37.000 1.000 206.75097009953726
20.600 38.000 0.800 66.1390688260575
20.600 38.000 0.820 65.55019726357988
20.600 38.000 0.840 67.3685679285452
20.600 38.000 0.860 71.54754134808451
20.600 38.000 0.880 81.79769386663386
20.600 38.000 0.900 99.06879249989976
20.600 38.000 0.920 119.41945455545313
20.600 38.000 0.940 140.4380105353167
20.600 38.000 0.960 162.52543629138725
20.600 38.000 0.980 184.61286204745784
30.000 55.000 0.920 126.49610895196551
30.000 55.000 0.940 112.43859310847311
30.000 55.000 0.960 102.59350654448012
30.000 55.000 0.980 96.02375083497816
30.000 55.000 1.000 93.08774934543774
20.800 51.000 0.880 73.77453024166162
20.800 51.000 0.900 93.86847411079034
20.800 51.000 0.920 113.962417979919
20.800 51.000 0.940 135.55708745572838
20.800 51.000 0.960 157.54066378457375
20.800 51.000 0.980 179.524240113419
20.800 51.000 1.000 201.50781644226424
20.800 52.000 0.800 60.79897896704533
20.800 52.000 0.820 57.85015478023012
20.800 52.000 0.840 57.947890262674754
20.800 52.000 0.860 62.685255571689936
20.800 52.000 0.880 74.02423477190344
20.800 52.000 0.900 94.1238537439922
20.800 52.000 0.920 114.22347271608089
20.800 52.000 0.940 135.54939442803735
20.800 52.000 0.960 157.5328070754424
20.800 52.000 0.980 179.5162197228475
20.800 52.000 1.000 201.49963237025258
20.800 53.000 0.800 61.487200997679935
20.800 53.000 0.820 58.764391845267866
20.800 53.000 0.840 58.91520899990908
20.800 53.000 0.860 63.86970292842618
20.800 53.000 0.880 74.51099446982359
20.800 53.000 0.900 94.38479852155972
20.800 53.000 0.920 114.49021626648327
20.800 53.000 0.940 135.54469094290243
20.800 53.000 0.960 157.5280035161557
20.800 53.000 0.980 179.51131608940892
20.800 53.000 1.000 201.49462866266222
20.800 54.000 0.800 62.34129085945258
20.800 54.000 0.820 59.71617768526312
20.800 54.000 0.840 60.27923996035214
20.800 54.000 0.860 65.08255088397178
20.800 54.000 0.880 75.28214915348785
20.800 54.000 0.900 94.65120210083721
20.800 54.000 0.920 114.76253992530026
20.800 54.000 0.940 135.54298260752483
20.800 54.000 0.960 157.52625883321687
20.800 54.000 0.980 179.5095350589089
20.800 54.000 1.000 201.49281128460098
20.800 55.000 0.800 63.453161286985996
20.800 55.000 0.820 60.74638434789721
20.800 55.000 0.840 61.769620126507874
20.800 55.000 0.860 66.32339075637438
20.800 55.000 0.880 76.43273490100235
20.800 55.000 0.900 94.9229573409289
20.800 55.000 0.920 115.04033417072733
20.800 55.000 0.940 135.54427355275865
20.800 55.000 0.960 157.52757724537057
20.800 55.000 0.980 179.51088093798242
20.800 55.000 1.000 201.49418463059436
21.000 35.000 0.800 70.46280518981006
21.000 35.000 0.820 68.83542301571502
21.000 35.000 0.840 69.62919044587899
21.000 35.000 0.860 72.8051411402525
